"Comment","Designator","Footprint","LCSC Part #"
"RFM95W-868S2","U5","",""
"UFL","J1","",""
"1000uF","C18","",""
"POWER ON","J4 J12","",""
"18650_HOLDER","BT1","",""
"RED","D1","",""
"GREEN","D2","",""
"B2B-XH-A","J3","",""
"614105150721","J2","",""
"I2C INTERNAL","J7","",""
"TARE","S1","",""
"RESET","S3","",""
"BLUE","D7","",""
"DSHP06TSGET","S2","",""
"B5B-XH-A__LF__SN_","J8","",""
"B8B-XH-A_LF__SN_","J9","",""
"TILT","J10","",""
"MSS-102559-14A-D","S4","",""
"Debug","J5","",""
