"Designator","Mid X","Mid Y","Layer","Rotation"
"LayerIcon04","143.61mm","-85.05mm","top","0.0"
"J9","216.916mm","-86.614mm","top","90.0"
"J5","211.08mm","-39.79mm","top","270.0"
"S4","184.83mm","-39.54mm","top","0.0"
"J1","169.76mm","-93.61mm","top","180.0"
"J10","213.6mm","-92.45mm","top","90.0"
"J12","218.79mm","-39.79mm","top","270.0"
"U5","157.75mm","-86.65mm","top","0.0"
"S3","167.35mm","-69.6mm","top","180.0"
"S2","177.8mm","-82.22mm","top","270.0"
"S1","179.7mm","-69.6mm","top","180.0"
"J8","226.05mm","-83.75mm","top","90.0"
"J7","188.1mm","-68.15mm","top","90.0"
"J4","169.03mm","-39.83mm","top","270.0"
"J3","153.33mm","-40.65mm","top","180.0"
"J2","143.52mm","-76.46mm","top","90.0"
"D7","181.76mm","-75.42mm","top","0.0"
"D2","158.9725mm","-39.07mm","top","0.0"
"D1","162.2mm","-39.07mm","top","180.0"
"C18","154.65mm","-70.25mm","top","0.0"
"BT1","184.3mm","-54.4mm","top","180.0"
